,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,clusters,cluster
536,27.0,60,12,0.22,1,281,1,purple
537,45.0,5,123,2.47,1,0,0,pink
538,69.0,3,65,0.75,1,25,0,pink
539,39.0,3,113,1.31,2,319,1,purple
540,140.0,3,8,0.08,1,319,1,purple
541,120.0,4,15,0.18,1,0,0,pink
542,44.0,2,65,0.92,1,226,1,purple
543,750.0,1,38,0.38,1,365,1,purple
544,40.0,62,34,0.35,1,135,0,pink
545,34.0,1,13,0.18,1,361,1,purple
546,40.0,3,82,0.83,1,0,0,pink
547,51.0,8,3,0.04,2,71,0,pink
548,29.0,2,10,0.15,1,241,1,purple
549,130.0,2,85,1.0,1,71,0,pink
550,141.0,4,218,2.28,1,315,1,purple
551,280.0,10,5,0.06,1,362,1,purple
552,148.0,3,30,0.32,4,162,1,purple
553,151.0,4,243,2.54,2,288,1,purple
554,80.0,2,28,0.28,2,232,1,purple
555,262.0,1,20,0.3,2,89,0,pink
556,60.0,4,163,1.73,1,197,1,purple
557,80.0,4,263,2.68,3,242,1,purple
558,91.0,2,0,0.72,1,323,1,purple
559,90.0,4,18,0.28,1,101,0,pink
560,35.0,4,96,0.94,1,0,0,pink
561,74.0,120,0,0.72,1,365,1,purple
562,71.0,5,536,5.25,2,80,0,pink
563,165.0,3,177,1.8,1,319,1,purple
564,60.0,4,466,4.96,1,1,0,pink
565,58.0,3,83,0.84,1,288,1,purple
566,43.0,60,6,0.07,2,261,1,purple
567,45.0,4,12,0.27,1,0,0,pink
568,39.0,2,0,0.72,4,0,0,pink
569,60.0,183,15,0.2,2,39,0,pink
570,72.0,40,110,1.15,2,39,0,pink
571,35.0,2,43,0.43,1,364,1,purple
572,30.0,2,52,0.51,2,316,1,purple
573,35.0,3,16,0.46,3,285,1,purple
574,121.0,6,6,0.09,1,134,0,pink
575,58.0,1,76,1.02,2,316,1,purple
576,58.0,1,53,0.62,2,251,1,purple
577,66.0,3,328,3.35,10,335,1,purple
578,25.0,356,21,0.21,1,358,1,purple
579,64.0,3,398,3.95,2,332,1,purple
580,59.0,2,26,0.31,2,315,1,purple
581,99.0,3,11,0.13,1,107,0,pink
582,66.0,1,224,2.5,1,358,1,purple
583,38.0,1,28,0.31,1,193,1,purple
584,30.0,3,28,0.63,1,0,0,pink
585,40.0,2,104,1.05,1,294,1,purple
586,49.0,1,73,1.16,1,27,0,pink
587,30.0,3,41,0.41,1,0,0,pink
588,32.0,2,26,0.27,1,228,1,purple
589,46.0,180,74,0.73,2,146,1,purple
590,40.0,30,301,3.14,2,29,0,pink
591,110.0,3,40,0.52,1,323,1,purple
592,45.0,2,49,0.66,1,0,0,pink
593,32.0,1,74,0.88,3,42,0,pink
594,48.0,80,55,0.55,1,193,1,purple
