,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Price category,Rental availability,Host type
238,Tempelhof - Schöneberg,52.46411,13.34383,Entire home/apt,50.0,2,96,0.87,3,282,Low price,Long term,Commercial host
239,Mitte,52.53392,13.40503,Entire home/apt,155.0,1,182,1.92,3,305,Middle price,Long term,Commercial host
240,Pankow,52.54094,13.43602,Entire home/apt,57.0,3,356,3.67,10,360,Low price,Long term,Commercial host
241,Pankow,52.5429,13.43628,Entire home/apt,72.0,3,349,3.65,10,345,Low price,Long term,Commercial host
242,Neukölln,52.48348,13.42909,Private room,28.0,3,52,0.46,10,362,Low price,Long term,Commercial host
243,Neukölln,52.48348,13.42909,Private room,28.0,3,79,0.75,10,361,Low price,Long term,Commercial host
244,Neukölln,52.48348,13.42909,Private room,47.0,3,166,1.46,10,362,Low price,Long term,Commercial host
245,Neukölln,52.48348,13.42909,Private room,47.0,3,189,1.81,10,362,Low price,Long term,Commercial host
246,Tempelhof - Schöneberg,52.48288,13.35491,Private room,35.0,5,12,0.18,1,0,Low price,Short term,Private host
247,Pankow,52.55193,13.41385,Private room,58.0,2,13,0.12,1,268,Low price,Long term,Private host
248,Pankow,52.5376,13.41004,Entire home/apt,66.0,61,6,0.08,1,364,Low price,Long term,Private host
249,Friedrichshain-Kreuzberg,52.49885,13.40021,Entire home/apt,65.0,2,331,3.0,1,344,Low price,Long term,Private host
250,Friedrichshain-Kreuzberg,52.5135,13.45802,Entire home/apt,63.0,1,257,4.04,2,331,Low price,Long term,Private host
251,Pankow,52.53754,13.41968,Private room,75.0,2,181,1.69,2,117,Low price,Middle term,Private host
252,Charlottenburg-Wilm.,52.51837,13.31841,Entire home/apt,43.0,60,4,0.06,1,315,Low price,Long term,Private host
253,Treptow - Köpenick,52.49119,13.44976,Private room,33.0,14,91,0.95,1,2,Low price,Short term,Private host
254,Charlottenburg-Wilm.,52.50623,13.30163,Private room,18.0,10,51,0.46,1,264,Low price,Long term,Private host
255,Treptow - Köpenick,52.41249,13.54999,Entire home/apt,74.0,6,6,0.07,1,0,Low price,Short term,Private host
256,Tempelhof - Schöneberg,52.49558,13.34568,Private room,28.0,5,2,0.03,1,0,Low price,Short term,Private host
257,Mitte,52.52332,13.35737,Entire home/apt,60.0,45,1,0.01,1,12,Low price,Short term,Private host
258,Pankow,52.57917,13.44359,Entire home/apt,55.0,2,139,1.44,1,288,Low price,Long term,Private host
259,Friedrichshain-Kreuzberg,52.50209,13.42035,Entire home/apt,54.0,3,72,0.71,1,0,Low price,Short term,Private host
260,Mitte,52.52173,13.40483,Entire home/apt,110.0,4,59,0.67,2,3,Middle price,Short term,Private host
261,Friedrichshain-Kreuzberg,52.5028,13.4374,Entire home/apt,91.0,7,371,3.3,1,298,Middle price,Long term,Private host
262,Friedrichshain-Kreuzberg,52.49211,13.42255,Entire home/apt,78.0,5,9,0.08,1,0,Low price,Short term,Private host
263,Pankow,52.53672,13.42018,Private room,56.0,2,19,0.31,1,0,Low price,Short term,Private host
264,Friedrichshain-Kreuzberg,52.49283,13.41115,Entire home/apt,80.0,3,243,2.46,2,308,Middle price,Long term,Private host
265,Pankow,52.56029,13.4176,Private room,35.0,5,63,0.56,1,348,Low price,Long term,Private host
266,Friedrichshain-Kreuzberg,52.5088,13.4558,Entire home/apt,49.0,180,16,0.16,1,194,Low price,Long term,Private host
267,Neukölln,52.48184,13.44061,Entire home/apt,67.0,180,56,0.58,3,0,Low price,Short term,Commercial host
268,Friedrichshain-Kreuzberg,52.51586,13.46388,Private room,28.0,1,44,0.44,1,48,Low price,Short term,Private host
269,Pankow,52.53645,13.44103,Entire home/apt,65.0,180,34,0.32,3,0,Low price,Short term,Commercial host
270,Friedrichshain-Kreuzberg,52.48987,13.423,Entire home/apt,80.0,20,19,0.26,1,56,Middle price,Short term,Private host
271,Neukölln,52.47837,13.42436,Entire home/apt,80.0,4,33,0.42,1,146,Middle price,Middle term,Private host
272,Tempelhof - Schöneberg,52.48161,13.35973,Entire home/apt,69.0,4,33,0.71,4,288,Low price,Long term,Commercial host
273,Charlottenburg-Wilm.,52.50249,13.29501,Entire home/apt,168.0,12,5,0.06,1,0,Middle price,Short term,Private host
274,Steglitz - Zehlendorf,52.45944,13.30963,Private room,40.0,3,141,1.33,2,301,Low price,Long term,Private host
275,Friedrichshain-Kreuzberg,52.50346,13.38851,Private room,49.0,2,55,1.94,1,106,Low price,Middle term,Private host
276,Pankow,52.53163,13.41836,Private room,45.0,84,165,1.61,2,178,Low price,Middle term,Private host
277,Pankow,52.53838,13.41093,Entire home/apt,109.0,3,199,1.84,1,325,Middle price,Long term,Private host
278,Mitte,52.52618,13.38946,Entire home/apt,145.0,2,17,0.15,1,364,Middle price,Long term,Private host
279,Neukölln,52.47374,13.44847,Private room,25.0,10,10,1.15,1,0,Low price,Short term,Private host
280,Neukölln,52.48252,13.44715,Entire home/apt,50.0,3,11,0.15,1,0,Low price,Short term,Private host
281,Mitte,52.51416,13.41568,Entire home/apt,100.0,5,54,0.54,1,193,Middle price,Long term,Private host
282,Mitte,52.52971,13.38907,Entire home/apt,70.0,2,233,4.08,2,199,Low price,Long term,Private host
283,Mitte,52.52961,13.38904,Entire home/apt,85.0,2,176,2.89,2,145,Middle price,Middle term,Private host
284,Friedrichshain-Kreuzberg,52.51009,13.47205,Entire home/apt,31.0,183,20,0.19,3,163,Low price,Middle term,Commercial host
285,Friedrichshain-Kreuzberg,52.49078,13.41395,Entire home/apt,75.0,7,0,,1,0,Low price,Short term,Private host
286,Friedrichshain-Kreuzberg,52.51094,13.467,Private room,45.0,2,104,1.2,1,163,Low price,Middle term,Private host
287,Reinickendorf,52.59239,13.32588,Entire home/apt,35.0,8,43,0.4,1,0,Low price,Short term,Private host
288,Pankow,52.5411,13.41506,Entire home/apt,154.0,15,1,0.04,1,78,Middle price,Short term,Private host
289,Pankow,52.53806,13.41159,Private room,38.0,14,9,0.23,1,0,Low price,Short term,Private host
290,Pankow,52.53606,13.42828,Entire home/apt,56.0,180,19,0.21,3,0,Low price,Short term,Commercial host
291,Pankow,52.54116,13.41449,Entire home/apt,50.0,2,207,2.04,1,180,Low price,Middle term,Private host
292,Charlottenburg-Wilm.,52.49675,13.30447,Entire home/apt,28.0,1,0,,1,281,Low price,Long term,Private host
293,Friedrichshain-Kreuzberg,52.48845,13.39543,Private room,110.0,2,2,0.03,1,363,Middle price,Long term,Private host
294,Steglitz - Zehlendorf,52.43681,13.24074,Entire home/apt,90.0,5,26,0.24,1,314,Middle price,Long term,Private host
295,Friedrichshain-Kreuzberg,52.49257,13.41091,Entire home/apt,84.0,2,332,3.19,1,294,Middle price,Long term,Private host
296,Pankow,52.53894,13.42126,Entire home/apt,178.0,2,18,0.21,2,288,Middle price,Long term,Private host
297,Pankow,52.53112,13.42019,Entire home/apt,76.0,4,9,0.09,1,0,Low price,Short term,Private host
298,Friedrichshain-Kreuzberg,52.48946,13.37568,Private room,48.0,5,31,0.28,1,0,Low price,Short term,Private host
299,Mitte,52.52818,13.40969,Private room,29.0,3,75,1.0,1,0,Low price,Short term,Private host
300,Neukölln,52.48122,13.42235,Private room,33.0,5,5,0.05,1,0,Low price,Short term,Private host
301,Mitte,52.52276,13.40443,Private room,54.0,3,29,0.75,1,21,Low price,Short term,Private host
302,Neukölln,52.48805,13.44107,Entire home/apt,54.0,30,15,0.18,1,12,Low price,Short term,Private host
303,Pankow,52.54297,13.42026,Entire home/apt,202.0,1,127,1.19,1,162,Middle price,Middle term,Private host
304,Friedrichshain-Kreuzberg,52.5025,13.41729,Private room,30.0,30,163,1.52,1,237,Low price,Long term,Private host
305,Tempelhof - Schöneberg,52.49718,13.35518,Entire home/apt,85.0,4,50,0.51,2,0,Middle price,Short term,Private host
306,Friedrichshain-Kreuzberg,52.49585,13.42478,Entire home/apt,58.0,5,8,0.08,1,0,Low price,Short term,Private host
307,Mitte,52.52836,13.40555,Private room,45.0,3,41,0.42,1,285,Low price,Long term,Private host
308,Pankow,52.53879,13.41633,Entire home/apt,140.0,7,48,0.64,1,303,Middle price,Long term,Private host
309,Neukölln,52.47919,13.42538,Entire home/apt,91.0,3,115,1.12,1,328,Middle price,Long term,Private host
310,Mitte,52.52944,13.40338,Private room,44.0,3,209,1.91,1,193,Low price,Long term,Private host
311,Mitte,52.5151,13.41369,Entire home/apt,125.0,1,293,4.62,2,346,Middle price,Long term,Private host
312,Neukölln,52.48131,13.42314,Entire home/apt,60.0,14,30,1.57,1,0,Low price,Short term,Private host
313,Friedrichshain-Kreuzberg,52.49124,13.41682,Entire home/apt,50.0,7,3,0.03,1,0,Low price,Short term,Private host
314,Mitte,52.53593,13.38122,Entire home/apt,65.0,14,0,,1,0,Low price,Short term,Private host
315,Mitte,52.5361,13.37822,Entire home/apt,65.0,3,361,3.72,2,341,Low price,Long term,Private host
316,Mitte,52.53608,13.37843,Entire home/apt,65.0,3,323,3.02,2,327,Low price,Long term,Private host
317,Mitte,52.5133,13.41781,Private room,53.0,1,51,0.53,1,0,Low price,Short term,Private host
318,Friedrichshain-Kreuzberg,52.49343,13.3969,Entire home/apt,39.0,7,5,0.06,1,0,Low price,Short term,Private host
319,Mitte,52.53325,13.40217,Entire home/apt,110.0,28,8,0.07,2,254,Middle price,Long term,Private host
320,Pankow,52.54407,13.42201,Entire home/apt,198.0,3,198,2.04,4,258,Middle price,Long term,Commercial host
321,Pankow,52.54616,13.42069,Private room,35.0,5,67,1.08,1,285,Low price,Long term,Private host
322,Steglitz - Zehlendorf,52.43781,13.23219,Entire home/apt,80.0,183,18,0.17,4,364,Middle price,Long term,Commercial host
323,Neukölln,52.4887,13.43648,Private room,38.0,5,10,0.22,1,0,Low price,Short term,Private host
324,Tempelhof - Schöneberg,52.48916,13.35058,Entire home/apt,245.0,4,67,0.74,2,357,Middle price,Long term,Private host
325,Tempelhof - Schöneberg,52.4568,13.38698,Entire home/apt,60.0,3,208,2.44,1,0,Low price,Short term,Private host
326,Friedrichshain-Kreuzberg,52.48952,13.37632,Entire home/apt,60.0,61,20,0.24,2,40,Low price,Short term,Private host
327,Pankow,52.53097,13.41577,Private room,42.0,1,590,5.35,1,285,Low price,Long term,Private host
328,Pankow,52.54797,13.40576,Entire home/apt,59.0,14,51,0.48,1,195,Low price,Long term,Private host
329,Pankow,52.54183,13.41924,Entire home/apt,109.0,3,63,0.58,2,165,Middle price,Middle term,Private host
330,Treptow - Köpenick,52.43286,13.70843,Entire home/apt,59.0,3,10,0.18,1,296,Low price,Long term,Private host
331,Mitte,52.51789,13.41801,Entire home/apt,74.0,10,26,0.77,2,0,Low price,Short term,Private host
332,Neukölln,52.46897,13.44349,Private room,40.0,3,7,0.09,1,0,Low price,Short term,Private host
333,Tempelhof - Schöneberg,52.48207,13.36099,Entire home/apt,54.0,1,305,3.22,1,312,Low price,Long term,Private host
334,Mitte,52.50553,13.42047,Entire home/apt,100.0,3,58,0.66,1,236,Middle price,Long term,Private host
335,Mitte,52.54964,13.37877,Entire home/apt,64.0,6,3,0.04,1,0,Low price,Short term,Private host
336,Neukölln,52.47213,13.42633,Entire home/apt,21.0,10,0,,1,0,Low price,Short term,Private host
337,Pankow,52.5475,13.40002,Entire home/apt,68.0,2,248,2.31,1,162,Low price,Middle term,Private host
338,Neukölln,52.49436,13.4226,Entire home/apt,29.0,183,55,0.5,3,188,Low price,Long term,Commercial host
339,Treptow - Köpenick,52.34579,13.64364,Entire home/apt,99.0,2,2,0.02,4,0,Middle price,Short term,Commercial host
340,Tempelhof - Schöneberg,52.49081,13.34785,Private room,40.0,3,41,0.42,1,82,Low price,Short term,Private host
341,Charlottenburg-Wilm.,52.50585,13.29594,Entire home/apt,73.0,60,4,0.06,1,46,Low price,Short term,Private host
342,Mitte,52.55159,13.37746,Entire home/apt,39.0,6,9,0.1,1,0,Low price,Short term,Private host
343,Friedrichshain-Kreuzberg,52.49268,13.41127,Private room,59.0,5,15,0.18,1,0,Low price,Short term,Private host
344,Treptow - Köpenick,52.34666,13.64336,Entire home/apt,60.0,2,1,0.01,4,0,Low price,Short term,Commercial host
345,Mitte,52.54042,13.37282,Entire home/apt,120.0,3,5,0.06,1,162,Middle price,Middle term,Private host
346,Mitte,52.52333,13.39676,Private room,50.0,1,3,0.09,1,0,Low price,Short term,Private host
347,Neukölln,52.4789,13.42376,Entire home/apt,85.0,4,6,0.06,1,50,Middle price,Short term,Private host
348,Friedrichshain-Kreuzberg,52.51515,13.45008,Entire home/apt,82.0,3,33,0.78,2,0,Middle price,Short term,Private host
349,Pankow,52.54436,13.41582,Private room,34.0,1,156,1.43,1,294,Low price,Long term,Private host
350,Spandau,52.47818,13.12428,Private room,49.0,5,80,0.82,1,190,Low price,Long term,Private host
351,Treptow - Köpenick,52.43069,13.50875,Entire home/apt,50.0,3,47,0.53,1,224,Low price,Long term,Private host
352,Pankow,52.52848,13.41909,Private room,30.0,2,479,4.55,1,283,Low price,Long term,Private host
353,Mitte,52.52358,13.34047,Private room,80.0,7,7,0.1,1,19,Middle price,Short term,Private host
354,Neukölln,52.46689,13.42325,Entire home/apt,59.0,7,18,0.2,1,0,Low price,Short term,Private host
355,Tempelhof - Schöneberg,52.49847,13.34911,Entire home/apt,29.0,122,78,0.79,1,310,Low price,Long term,Private host
356,Tempelhof - Schöneberg,52.50143,13.34437,Entire home/apt,72.0,4,189,1.73,3,138,Low price,Middle term,Commercial host
357,Tempelhof - Schöneberg,52.45767,13.37887,Entire home/apt,90.0,5,25,0.25,1,21,Middle price,Short term,Private host
358,Pankow,52.53792,13.42493,Entire home/apt,70.0,3,50,0.48,1,0,Low price,Short term,Private host
359,Neukölln,52.41305,13.47963,Entire home/apt,50.0,3,30,0.34,2,300,Low price,Long term,Private host
360,Friedrichshain-Kreuzberg,52.50218,13.37687,Private room,22.0,2,502,4.59,1,305,Low price,Long term,Private host
361,Pankow,52.55438,13.40816,Private room,20.0,1000,26,0.24,1,365,Low price,Long term,Private host
362,Mitte,52.54813,13.35233,Private room,43.0,2,13,0.12,1,307,Low price,Long term,Private host
363,Neukölln,52.49305,13.42712,Entire home/apt,100.0,4,136,1.25,1,204,Middle price,Long term,Private host
364,Pankow,52.53137,13.42697,Entire home/apt,136.0,5,68,0.72,2,0,Middle price,Short term,Private host
365,Neukölln,52.48623,13.44967,Entire home/apt,37.0,60,98,0.92,1,273,Low price,Long term,Private host
366,Pankow,52.5373,13.41563,Entire home/apt,48.0,60,42,0.43,1,209,Low price,Long term,Private host
367,Neukölln,52.41335,13.47975,Entire home/apt,60.0,3,33,0.4,2,285,Low price,Long term,Private host
368,Charlottenburg-Wilm.,52.46786,13.31329,Private room,32.0,4,33,0.3,4,43,Low price,Short term,Commercial host
369,Neukölln,52.47095,13.42721,Private room,50.0,3,5,0.05,1,0,Low price,Short term,Private host
370,Charlottenburg-Wilm.,52.49739,13.30231,Entire home/apt,65.0,60,87,1.37,1,221,Low price,Long term,Private host
371,Reinickendorf,52.57379,13.35485,Private room,29.0,1,34,0.32,3,347,Low price,Long term,Commercial host
372,Mitte,52.52825,13.39147,Entire home/apt,65.0,5,7,0.1,1,0,Low price,Short term,Private host
373,Friedrichshain-Kreuzberg,52.49234,13.4139,Entire home/apt,87.0,29,95,1.0,2,224,Middle price,Long term,Private host
374,Friedrichshain-Kreuzberg,52.49615,13.43335,Entire home/apt,100.0,25,58,0.73,1,268,Middle price,Long term,Private host
375,Mitte,52.5461,13.35043,Entire home/apt,80.0,8,9,0.08,1,0,Middle price,Short term,Private host
376,Friedrichshain-Kreuzberg,52.52302,13.45452,Entire home/apt,76.0,3,81,0.81,1,285,Low price,Long term,Private host
377,Tempelhof - Schöneberg,52.47988,13.35898,Private room,70.0,7,0,,1,0,Low price,Short term,Private host
378,Mitte,52.52874,13.40278,Entire home/apt,106.0,3,17,0.21,1,0,Middle price,Short term,Private host
379,Mitte,52.51206,13.41754,Entire home/apt,72.0,1,350,3.22,1,113,Low price,Middle term,Private host
380,Pankow,52.53815,13.4555,Entire home/apt,80.0,4,58,0.54,2,303,Middle price,Long term,Private host
381,Friedrichshain-Kreuzberg,52.50967,13.45671,Private room,30.0,3,49,0.51,1,0,Low price,Short term,Private host
382,Mitte,52.52483,13.39104,Entire home/apt,64.0,93,112,1.17,1,0,Low price,Short term,Private host
383,Friedrichshain-Kreuzberg,52.50292,13.45342,Private room,35.0,2,7,0.07,1,0,Low price,Short term,Private host
384,Reinickendorf,52.57196,13.35589,Private room,44.0,2,19,0.25,3,0,Low price,Short term,Commercial host
385,Pankow,52.55726,13.43611,Entire home/apt,120.0,90,39,0.38,4,363,Middle price,Long term,Commercial host
386,Pankow,52.554,13.41204,Private room,62.0,2,18,0.78,1,0,Low price,Short term,Private host
387,Friedrichshain-Kreuzberg,52.49664,13.40311,Entire home/apt,35.0,5,2,0.02,1,0,Low price,Short term,Private host
388,Friedrichshain-Kreuzberg,52.49808,13.4461,Private room,45.0,3,0,,1,0,Low price,Short term,Private host
389,Neukölln,52.48105,13.42655,Entire home/apt,67.0,8,98,0.99,1,9,Low price,Short term,Private host
390,Friedrichshain-Kreuzberg,52.51971,13.46309,Entire home/apt,35.0,3,112,1.07,1,135,Low price,Middle term,Private host
391,Pankow,52.54146,13.41694,Entire home/apt,100.0,4,12,0.12,1,254,Middle price,Long term,Private host
392,Friedrichshain-Kreuzberg,52.49295,13.4196,Entire home/apt,150.0,4,2,0.03,1,0,Middle price,Short term,Private host
393,Mitte,52.52819,13.39641,Entire home/apt,58.0,2,97,0.9,1,0,Low price,Short term,Private host
394,Pankow,52.55167,13.40318,Entire home/apt,45.0,7,4,0.04,1,0,Low price,Short term,Private host
395,Neukölln,52.47813,13.44657,Private room,20.0,20,0,,1,0,Low price,Short term,Private host
396,Pankow,52.53103,13.41687,Private room,38.0,1,573,5.32,4,333,Low price,Long term,Commercial host
397,Friedrichshain-Kreuzberg,52.49169,13.43446,Entire home/apt,115.0,4,75,0.92,1,3,Middle price,Short term,Private host
398,Pankow,52.55685,13.43355,Private room,45.0,5,0,,1,0,Low price,Short term,Private host
399,Pankow,52.54598,13.41322,Entire home/apt,72.0,4,158,1.62,1,191,Low price,Long term,Private host
400,Tempelhof - Schöneberg,52.49726,13.35215,Private room,74.0,3,31,0.42,2,298,Low price,Long term,Private host
401,Friedrichshain-Kreuzberg,52.49242,13.42037,Private room,35.0,2,165,1.55,1,193,Low price,Long term,Private host
402,Friedrichshain-Kreuzberg,52.4882,13.41995,Entire home/apt,200.0,3,10,0.13,2,0,Middle price,Short term,Private host
403,Tempelhof - Schöneberg,52.48512,13.3558,Entire home/apt,50.0,29,37,0.39,1,232,Low price,Long term,Private host
404,Neukölln,52.48254,13.43939,Private room,20.0,1,5,0.07,1,0,Low price,Short term,Private host
405,Friedrichshain-Kreuzberg,52.4996,13.41695,Entire home/apt,61.0,2,25,0.33,2,0,Low price,Short term,Private host
406,Friedrichshain-Kreuzberg,52.49764,13.4157,Private room,41.0,1,47,0.46,2,0,Low price,Short term,Private host
407,Charlottenburg-Wilm.,52.48955,13.32265,Private room,51.0,1,119,1.51,1,269,Low price,Long term,Private host
408,Mitte,52.52941,13.39821,Entire home/apt,79.0,3,90,1.28,2,315,Low price,Long term,Private host
409,Mitte,52.53088,13.35107,Entire home/apt,45.0,5,78,0.94,2,292,Low price,Long term,Private host
410,Pankow,52.59767,13.37674,Entire home/apt,45.0,1,0,,1,0,Low price,Short term,Private host
411,Friedrichshain-Kreuzberg,52.48875,13.3952,Entire home/apt,78.0,3,23,0.3,1,0,Low price,Short term,Private host
412,Mitte,52.53408,13.35895,Entire home/apt,95.0,3,6,0.06,1,0,Middle price,Short term,Private host
413,Mitte,52.54188,13.39834,Entire home/apt,100.0,4,1,0.01,1,0,Middle price,Short term,Private host
414,Mitte,52.50356,13.36244,Entire home/apt,111.0,2,254,3.03,1,276,Middle price,Long term,Private host
415,Friedrichshain-Kreuzberg,52.49798,13.39973,Entire home/apt,81.0,4,143,1.94,1,41,Middle price,Short term,Private host
416,Friedrichshain-Kreuzberg,52.49232,13.42048,Entire home/apt,65.0,5,9,0.2,1,0,Low price,Short term,Private host
417,Friedrichshain-Kreuzberg,52.49485,13.43586,Entire home/apt,137.0,7,26,0.28,1,9,Middle price,Short term,Private host
418,Mitte,52.52658,13.4104,Entire home/apt,45.0,30,9,0.09,1,364,Low price,Long term,Private host
